epoch,acc,loss,val_acc,val_loss
0,0.6866875,0.8618734503587087,0.76166666,0.6338838082949321
1,0.77270836,0.6159224163691203,0.79316664,0.5628886772791545
2,0.8034375,0.5413301117420196,0.80983335,0.5113078409830729
3,0.82285416,0.49229184913635254,0.82708335,0.4791527859369914
4,0.8377917,0.4531467093626658,0.8426667,0.44365066035588585
5,0.84675,0.42913746484120685,0.83641666,0.45784329652786254
6,0.854875,0.4073287547826767,0.8351667,0.44448269907633464
7,0.8610833,0.3910453097422918,0.85933334,0.3868869579633077
8,0.8650208,0.37770636260509494,0.85366666,0.39933221888542175
9,0.86845833,0.3670356601079305,0.86983335,0.36575079226493834
10,0.8718542,0.35972452318668363,0.86808336,0.3716625672181447
11,0.87570834,0.3457544906536738,0.86908334,0.3581555905342102
12,0.877875,0.33897131311893464,0.87725,0.34770215400060017
13,0.8796875,0.3343868939479192,0.877,0.3344181152184804
14,0.884,0.3257053415775299,0.8771667,0.34644081473350524
15,0.8860625,0.3187863386472066,0.8825,0.33195859591166177
16,0.88504165,0.3154730460246404,0.8753333,0.34626596506436663
17,0.88883334,0.3081800673802694,0.88058335,0.331176476875941
18,0.89045835,0.3022558010816574,0.8803333,0.32537443947792055
19,0.89329165,0.29847381711006166,0.8691667,0.3554934337933858
20,0.89308333,0.2952960750659307,0.8879167,0.31286573894818626
21,0.89429164,0.2916964811086655,0.88808334,0.3053221693833669
22,0.89741665,0.2841619278589884,0.88958335,0.3027687187194824
23,0.89825,0.28006970552603405,0.89475,0.2955379908879598
24,0.89825,0.2790310068925222,0.88858336,0.30983183248837787
25,0.90166664,0.27104074621200563,0.88975,0.3007219286759694
26,0.90272915,0.26850127172470095,0.8855,0.31183618450164796
